URL,Name,Doctor,Companions,Producer,Data,Content
https://tardis.fandom.com/ru/wiki/%D0%9F%D0%B0%D0%BD%D0%B4%D0%BE%D1%80%D0%B8%D0%BA%D0%B0_%D0%BE%D1%82%D0%BA%D1%80%D1%8B%D0%B2%D0%B0%D0%B5%D1%82%D1%81%D1%8F,"
					Пандорика открывается				",Одиннадцатый Доктор,Эми Понд,Питер Беннетт,19 июня 2010,"Пандорика открывается The Pandorica Opens Доктор Кто : 5 сезон 12 серия Доктор: Одиннадцатый Доктор Спутники: Эми Понд , Ривер Сонг Участвуют: Рори Уильямс Враги: Альянс : автоны , далеки , киберлюди , сонтаранцы , джудуны и другие Тишина (не появляются) Камео: Винсент Ван Гог , Уинстон Черчилль , Эдвин Брейсвелл , Лиз 10 , Дориум Малдовар , силурианцы , робоформы , сикораксы , хоикс , « долгоносики », атракси , юводни , « иглобрюхие » Место: Земля - Римская Британия ( Стоунхэндж - 102 год ), Англия ( Лондон - 1941 ; Лидворт - 26 июня 2010 ), Франция ( 1890 ) ТАРДИС Доктора Стормкейдж , Королевская коллекция и Малдовариум - 5145 год Планета Один Производственная информация Автор: Стивен Моффат Режиссёр: Тоби Хейнс Продюсер: Питер Беннетт Номер: 212a Дата выхода: 19 июня 2010 Формат: 50-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Квартирант Большой взрыв Пандорика открывается (англ. The Pandorica Opens ) — 12 эпизод 5 сезона возобновлённого « Доктора Кто », вышедший 19 июня 2010 и начавший двухсерийную историю, которая завершится в следующем эпизоде . Серия продолжила сюжетную арку трещин во времени и показала возвращение Ривер Сонг и ранее погибшего и стёртого из истории Рори Уильямса . По ходу серии раскрывается, что против Доктора создали Альянс многие его давние враги, среди которых напрямую ему здесь противостояли автоны под контролем Нестин , киберлюди , далеки , сонтаранцы и джудуны . В начале эпизода произошло небольшое возвращение четырёх персонажей, участвовавших в прошлых сериях 5 сезона - Винсента Ван Гога , Черчилля , Брейсвелла и Лиз 10 , а в конце истории произошло камео многих рас, которые были частью Альянса, в том числе трёх, которые ранее появлялись только в « Торчвуде » и « Приключениях Сары Джейн ». "
https://tardis.fandom.com/ru/wiki/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%BE%D0%B9_%D0%B2%D0%B7%D1%80%D1%8B%D0%B2,"
					Большой взрыв				",Одиннадцатый Доктор,Эми Понд,Питер Беннетт,26 июня 2010,"Большой взрыв The Big Bang Доктор Кто : 5 сезон 13 серия Доктор: Одиннадцатый Доктор Спутники: Эми Понд , Рори Уильямс , Ривер Сонг Враги: Тишина (не появляются) Камео: Далек Место: Земля - Римская Британия ( Стоунхэндж - 102 год ) и Англия ( Лидворт и Колчестер - 1996 и 2010 ) ТАРДИС Доктора Альфава Метраксис - 51 век Производственная информация Автор: Стивен Моффат Режиссёр: Тоби Хейнс Продюсер: Питер Беннетт Номер: 212b Дата выхода: 26 июня 2010 Формат: 55-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Пандорика открывается Рождественская песнь Большой взрыв (англ. The Big Bang ) — 13 и последний эпизод 5 сезона возобновлённого « Доктора Кто », вышедший 26 июня 2010 и завершивший двухсерийную историю, начавшуюся в прошлом эпизоде . Серия завершила сюжетную арку трещин во времени , развивающуюся на протяжении всего сезона, однако оставила открытым вопрос о Тишине , и зачем им было необходимо взорвать ТАРДИС Доктора . В эпизоде также была показана свадьба Эми и Рори , которая планировалась с первой серии сезона , и обсуждалась тайна личности Ривер , которая сказала Доктору, что он скоро узнает, кто она на самом деле . "
https://tardis.fandom.com/ru/wiki/%D0%A0%D0%BE%D0%B6%D0%B4%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BF%D0%B5%D1%81%D0%BD%D1%8C,"
					Рождественская песнь				",Одиннадцатый Доктор,Абигейл Петтигрю,Санне Воленберг,25 декабря 2010,"Рождественская песнь A Christmas Carol Доктор Кто : рождественский спецвыпуск Доктор: Одиннадцатый Доктор Спутники: Казран Сардик , Абигейл Петтигрю Участвуют: Эми Понд , Рори Уильямс Враги: Казран Сардик , Эллиот Сардик Место: Сардиктаун - 44 век Производственная информация Автор: Стивен Моффат Режиссёр: Тоби Хейнс Продюсер: Санне Воленберг Номер: 213 Дата выхода: 25 декабря 2010 Формат: 60-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Большой взрыв Невозможный астронавт Рождественская песнь — рождественский спецвыпуск возобновлённого « Доктора Кто », выпущенный 25 декабря 2010 года. Сюжет, написанный Стивеном Моффатом на основе одноимённой повести-сказке Чарльза Диккенса, показывает приключение Одиннадцатого Доктора , во время которого он пытается спасти терпящий крушение космический лайнер с Эми и Рори на борту, переписав прошлое единственного человека, который может ему помочь - Казрана Сардика , роль которого исполнил Майкл Гэмбон . "
https://tardis.fandom.com/ru/wiki/%D0%9D%D0%B5%D0%B2%D0%BE%D0%B7%D0%BC%D0%BE%D0%B6%D0%BD%D1%8B%D0%B9_%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D1%82,"
					Невозможный астронавт				",Одиннадцатый Доктор,Эми Понд,Маркус Уилсон,23 апреля 2011,"Невозможный астронавт The Impossible Astronaut Доктор Кто : 6 сезон 1 серия Доктор: Одиннадцатый Доктор Спутники: Эми Понд , Рори Уильямс , Ривер Сонг Участвуют: Кантон Делавэр , Ричард Никсон , Теселекта Враги: Тишина Место: Земля - США ( Юта , Вашингтон и Флорида - 8 апреля 1969 и 22 апреля 2011 ) / Англия ( Лондон - 17 век ; Вторая мировая война ) Стормкейдж - 52 век ТАРДИС Доктора Производственная информация Автор: Стивен Моффат Режиссёр: Тоби Хейнс Продюсер: Маркус Уилсон Номер: 214a Дата выхода: 23 апреля 2011 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Рождественская песнь День Луны Невозможный астронавт (англ. The Impossible Astronaut ) — 1 эпизод 6 сезона возобновлённого « Доктора Кто », вышедший 23 апреля 2011 и начавший двухсерийную историю, которая завершится в следующем эпизоде . Серия начала сюжетную арку Тишины , которая представляет таинственную организацию, цель которой - молчание Доктора, и которая упоминалась ещё в прошлом сезоне . Также серия примечательна возвращением Ривер Сонг , сюжетная линия которой оказывается тесно переплетена с новой аркой Тишины. Съёмки двухсерийки велись в США. Рори и Эми получают письмо, в котором указаны координаты и время. Местом назначения оказывается пустыня в штате Юта, где они встречают Доктора и Ривер Сонг, получившую такое же послание. Эми, Рори и Ривер узнают сведения, которые ни в коем случае не должны дойти до Доктора. Они встречают Кантона Эверетта Делавэра III, который также получил конверт. Рори, Эми, Доктор и Ривер отправляются в 1969 год в Овальный кабинет, где сам президент Ричард Никсон просит их о помощи. "
https://tardis.fandom.com/ru/wiki/%D0%94%D0%B5%D0%BD%D1%8C_%D0%9B%D1%83%D0%BD%D1%8B,"
					День Луны				",Одиннадцатый Доктор,Эми Понд,Маркус Уилсон,30 апреля 2011,"День Луны Day of the Moon Доктор Кто : 6 сезон 2 серия Доктор: Одиннадцатый Доктор Спутники: Эми Понд , Рори Уильямс , Ривер Сонг Участвуют: Кантон Делавэр , Ричард Никсон Враги: Тишина Камео: Ковариан Место: Земля - США - Флорида , Невада ( Зона 51 ), Юта , Аризона , Вашингтон и Нью-Йорк - июль 1969 и 1970 ТАРДИС Доктора Стормкейдж - 52 век Производственная информация Автор: Стивен Моффат Режиссёр: Тоби Хейнс Продюсер: Маркус Уилсон Номер: 214b Дата выхода: 30 апреля 2011 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Невозможный астронавт Проклятие чёрной метки День Луны (англ. Day of the Moon ) — 2 эпизод 6 сезона возобновлённого « Доктора Кто », вышедший 30 апреля 2011 и завершивший двухсерийную историю, которая началась в прошлом эпизоде . Серия продолжила сюжетную арку Тишины . Эпизод также несколько развил отношения Доктора с Ривер Сонг, и завершился на клиффхангере с регенерирующей девочкой, который объяснился по ходу сезона . Большая часть эпизода была снята в Юте, хотя некоторые сцены - в Кардиффе. Враги повсюду - никому нельзя доверять. Осложняет ситуацию то, что Доктор заточен в тюрьму, а ФБР преследует Эми, Рори и Ривер по всей Америке. С помощью нового друга и агента ФБР Кантона Эверетта Делавэра III, они воссоединяются, чтобы сразиться с противником, которого никто не в силах запомнить. "
https://tardis.fandom.com/ru/wiki/%D0%9F%D1%80%D0%BE%D0%BA%D0%BB%D1%8F%D1%82%D0%B8%D0%B5_%D1%87%D1%91%D1%80%D0%BD%D0%BE%D0%B9_%D0%BC%D0%B5%D1%82%D0%BA%D0%B8,"
					Проклятие чёрной метки				",Одиннадцатый Доктор,Эми Понд,Маркус Уилсон,7 мая 2011,"Проклятие чёрной метки The Curse of the Black Spot Доктор Кто : 6 сезон 3 серия Доктор: Одиннадцатый Доктор Спутники: Эми Понд , Рори Уильямс Участвуют: Генри Эвери , Тоби Враги: Сирена Камео: Ковариан Место: Земля - корабль Эвери - 1699 Инопланетный корабль в другом измерении Производственная информация Автор: Стив Томпсон Режиссёр: Джереми Уэбб Продюсер: Маркус Уилсон Номер: 215 Дата выхода: 7 мая 2011 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → День Луны Жена Доктора Проклятие чёрной метки (англ. The Curse of the Black Spot ) — 3 эпизод 6 сезона возобновлённого « Доктора Кто », вышедший 7 мая 2011. Сюжет основан на таинственном исчезновении реального пирата XVII века по имени Генри Эвери . Здесь также продолжается сюжетная арка Тишины с очередным небольшим появлением « леди с наглазником », которую видит Эми. ТАРДИС попадает на борт пиратского корабля XVII века, на команду которого нападает странное, но загадочное и прекрасное морское создание. Доктор предлагает свою помощь, но пираты хранят множество суеверий о появлении сирены. Доктору нужно добиться доверия капитана Эвери, чтобы раскрыть тайну страха пиратов — и действовать нужно быстро, ведь под заклятие сирены уже попал один из друзей Доктора… ТАРДИС получает сигнал бедствия и приземляется на борту пиратского корабля в 17 веке. На экипаж нападает существо по имени Сирена . Стоит кому-нибудь получить травму, на ладони этого человека появляется чёрная метка. Появляется Сирена и забирает этого человека с собой. Рори получает травму во время драки с пиратами и на его руке появляется метка. Доктор понимает что вода — это портал для Сирены. Он просит экипаж держаться в сухом месте, подальше от воды. В бочке обнаруживается Тоби Эвери — сын капитана корабля Генри Эвери. Тоби спрятался на корабле сразу после смерти матери, желая работать с отцом, не зная что его отец пират. У Тоби на ладоне есть чёрная метка — он болен лихорадкой. Доктор решает эвакуировать экипаж при помощи ТАРДИС. Он и Генри заходят в ТАРДИС чтобы подготовить её, однако ТАРДИС начинает вести себя странно. Доктор и Генри выбегают из неё и она улетает сама по себе. После того, как Сирена заманивает ещё одного члена экипажа, но уже в сухое место, Доктор понимает, что Сирена появляется из отражения чего-нибудь. Доктор разбивает все вещи содержащие отражение и выкидывает всё награбленное золото в воду. Начинается буря. Те кто остался на корабле начинают поднимать паруса. Тоби падает и как раз в этот момент у его отца выпадает корона, которую он спрятал под плащ. Появляется Сирена и забирает Тоби. Рори падает за борт и начинает тонуть. Доктор понимает, что Сирена разумное существо и вызывает её, чтобы спасти Рори. Доктор прокалывает руку себе, Эми и Эвери. Тут же появлется Сирена и забирает их. Догадки Доктора подтверждаются, когда Сирена перемещает их на невидимый космический корабль, который стоит на том же месте что и пиратский корабль. Доктор, Эми и Эвери находят экипаж корабля, который умер от человеческого вируса. Затем они находят весь экипаж Эвери. Сам же Эвери находит Тоби, Эми находит Рори, а Доктор находит ТАРДИС. Оказывается, что Сирена — медицинская программа, которая ухаживает за пострадавшими людьми. Чёрная метка же — образец ткани. Эми убеждает Сирену освободить Рори. Они отсоединяют его от аппарата жизнеобеспечения и уносят его в ТАРДИС. Тем временем Эвери, его экипаж и Тоби решили остаться на космическом корабле, так как они не способны вернуться в Англию, а корабль позаботится о них. Эвери и его команда отправляются в космос. В ТАРДИС Эми делает искусственное дыхание Рори, и тот приходит в себя. ТАРДИС улетает с космического корабля. Эми желает спокойной ночи Доктору, на что он отвечает ей тем же и говорит что всегда за неё волнуется. Эми и Рори стоя на лестнице обсуждают, сказать ли Доктору что он умрёт через двести лет . Когда они уходят, Доктор снова сканирует Эми на беременность. Сканер опять зашкаливает и пишет «Беременна/Не беременна». "
https://tardis.fandom.com/ru/wiki/%D0%96%D0%B5%D0%BD%D0%B0_%D0%94%D0%BE%D0%BA%D1%82%D0%BE%D1%80%D0%B0,"
					Жена Доктора				",Одиннадцатый Доктор,Эми Понд,Санне Воленберг,14 мая 2011,"Жена Доктора The Doctor's Wife Доктор Кто : 6 сезон 4 серия Доктор: Одиннадцатый Доктор Спутники: Эми Понд , Рори Уильямс Участвуют: Идрис / ТАРДИС Враги: Дом Место: Пузырьковая вселенная ТАРДИС Доктора Производственная информация Автор: Нил Гейман Режиссёр: Ричард Кларк Продюсер: Санне Воленберг Номер: 216 Дата выхода: 14 мая 2011 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Проклятие чёрной метки Мятежная плоть Жена Доктора (англ. The Doctor's Wife ) — 4 эпизод 6 сезона возобновлённого « Доктора Кто », вышедший 14 мая 2011. Сюжет написал известный английский писатель-фантаст Нил Гейман . В этой серии появляется ТАРДИС Доктора в человеческой форме, которую сыграла Сюранна Джоунс , а также исследованы её взаимоотношения с Доктором . Кроме того, вновь поднимается тема выживших Повелителей Времени , так как Доктор изначально полагает, получив послание, что один из них мог пережить Войну Времени. Это первая серия, в которой упоминается, что Повелители Времени при регенерации могут сменить пол - Доктор говорит, что у его друга Корсара было как минимум два женских воплощения. В будущем регенерация со сменой пола будет показана с Мастером , Генералом , и, в конечном итоге, с самим Доктором . Доктор получает сигнал бедствия от Повелителя Времени и направляет ТАРДИС в пузырьковую вселенную… В пузырьковой вселенной женщина по имени Идрис идет по коридору с Тётушкой . Тётушка говорит ей, что она боится, поскольку ей будет больно, но ее действия будут служить большей цели. Зеленоглазый Уд выводит ее на платформу и истощает ее разум и душу. следует дополнить "
https://tardis.fandom.com/ru/wiki/%D0%9C%D1%8F%D1%82%D0%B5%D0%B6%D0%BD%D0%B0%D1%8F_%D0%BF%D0%BB%D0%BE%D1%82%D1%8C,"
					Мятежная плоть				",Одиннадцатый Доктор,Эми Понд,Маркус Уилсон,21 мая 2011,"Мятежная плоть The Rebel Flesh Доктор Кто : 6 сезон 5 серия Доктор: Одиннадцатый Доктор Спутники: Эми Понд , Рори Уильямс Враги: Миранда Кливс , Плоть , гангеры Камео: Мадам Ковариан Место: Земля - Англия - Монастырь святого Иоанна - 22 век ТАРДИС Доктора Производственная информация Автор: Мэттью Грэм Режиссёр: Джулиан Симпсон Продюсер: Маркус Уилсон Номер: 217a Дата выхода: 21 мая 2011 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Жена Доктора Почти люди Мятежная плоть (англ. The Rebel Flesh ) — 5 эпизод 6 сезона возобновлённого « Доктора Кто », вышедший 21 мая 2011 и начавший двухсерийную историю, которая завершится в следующем эпизоде . Здесь впервые была представлена Плоть и созданные из неё гангеры , которые станут важной частью сюжетной арки Тишины . Природа обладает способностью мгновенно изменить планы, даже когда кажется, что ситуация находится под полным контролем. Так, обычный солнечный шторм способен вывести из строя налаженную систему клонирования. Впрочем, шансы на благополучный исход были бы велики, несмотря на полномасштабное восстание клонов, ведь на фабрику прибыл Доктор. Были бы — если бы у самого Доктора не было бы двойника… "
https://tardis.fandom.com/ru/wiki/%D0%9F%D0%BE%D1%87%D1%82%D0%B8_%D0%BB%D1%8E%D0%B4%D0%B8,"
					Почти люди				",Одиннадцатый Доктор,Эми Понд,Маркус Уилсон,28 мая 2011,"Почти люди The Almost People Доктор Кто : 6 сезон 6 серия Доктор: Одиннадцатый Доктор и его гангер Спутники: Эми Понд , Рори Уильямс Враги: Гангер Дженнифер , Плоть Камео: Мадам Ковариан Место: Земля - Англия - Монастырь святого Иоанна - 22 век ТАРДИС Доктора Бег демонов - 52 век Производственная информация Автор: Мэттью Грэм Режиссёр: Джулиан Симпсон Продюсер: Маркус Уилсон Номер: 217b Дата выхода: 28 мая 2011 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Мятежная плоть Хороший человек идёт на войну Почти люди (англ. The Almost People ) — 6 эпизод 6 сезона возобновлённого « Доктора Кто », вышедший 28 мая 2011 и завершивший двухсерийную историю, начавшуюся в прошлом эпизоде . Эпизод примечателен появлением дубликата Доктора , гангера, созданного из Плоти , представленной в прошлом эпизоде. Серия также стала важной частью сюжетной арки Тишины - здесь Доктор впервые узнал о своей будущей гибели , а сюжет завершился клиффхангером, во время которого раскрылось, что на протяжении всего 6 сезона вместо Эми в ТАРДИС путешествовал её гангер, в то время как настоящая беременная Эми была похищена Тишиной . "
https://tardis.fandom.com/ru/wiki/%D0%A5%D0%BE%D1%80%D0%BE%D1%88%D0%B8%D0%B9_%D1%87%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA_%D0%B8%D0%B4%D1%91%D1%82_%D0%BD%D0%B0_%D0%B2%D0%BE%D0%B9%D0%BD%D1%83,"
					Хороший человек идёт на войну				",Одиннадцатый Доктор,Эми Понд,Маркус Уилсон,4 июня 2011,"Хороший человек идёт на войну A Good Man Goes to War Доктор Кто : 6 сезон 7 серия Доктор: Одиннадцатый Доктор Спутники: Эми Понд , Рори Уильямс Участвуют: Ривер Сонг , Дориум Малдовар , Вастра , Дженни и Стракс Враги: Мадам Ковариан , Тишина , полковник Мантон , Безголовые монахи Камео: Киберлюди , силурианцы , джудуны , Дэнни Бой , Генри и Тоби Эвери Место: Бег Демонов , двадцатый кибер-легион , Стормкейдж и Малдовариум - 52 век Земля - Англия - Лондон - 1888 Битва у Заруштры - 4037 Производственная информация Автор: Стивен Моффат Режиссёр: Питер Хоар Продюсер: Маркус Уилсон Номер: 218 Дата выхода: 4 июня 2011 Формат: 50-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Почти люди Давай убьём Гитлера Хороший человек идёт на войну (англ. A Good Man Goes to War ) — 7 эпизод 6 сезона возобновлённого « Доктора Кто », вышедший 4 июня 2011 и завершивший первую «весеннюю» половину сезона. Сюжет продолжил события предыдущей серии , где раскрылось, что Эми была похищена Тишиной . Здесь было показано крупное противостояние Доктора с Тишиной и их лидером, мадам Ковариан , ради чего он собрал «армию» своих знакомых, кому он в прошлом помогал. Здесь также впервые раскрылось, что Ривер Сонг является дочерью Эми и Рори, Мелоди Понд. В эпизоде произошло первое появление Стракса , Вастры и Дженни Флинт , которые в будущем объединятся в команду «Патерностер» в викторианском Лондоне и вернутся в нескольких сериях. Также произошло возвращение Дориума Малдовара . Эми Понд похитили, и Доктор собирает армию, чтобы спасти её. Но пока он и Рори носятся по галактикам, требуя уплаты давних долгов и данных обещаний, его враги готовят тщательно скрытую ловушку. Ривер Сонг в своей тюремной камере в Стормкейдже с грустью понимает, что время, наконец, пришло — сегодняшний день ознаменует битва при Беге Демонов и самый тяжёлый час для Доктора. Обе стороны принесут свои жертвы, а Ривер Сонг наконец-то должна будет раскрыть Доктору свой самый сокровенный секрет. следует дополнить "
