URL,Name,Doctor,Companions,Producer,Data,Content
https://tardis.fandom.com/ru/wiki/%D0%A0%D0%BE%D0%B7%D0%B0_(%D0%A2%D0%92_%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F),"
					Роза (ТВ история)				",Девятый Доктор,Роза Тайлер,Фил Коллинсон,26 марта 2005,"Роза Rose Доктор Кто : 1 сезон 1 серия Доктор: Девятый Доктор Спутники: Роза Тайлер Участвуют: Микки Смит , Джекки Тайлер Враги: Сознание Нестин , автоны Место: Земля - Англия - Лондон - 4-5 марта 2005 ТАРДИС Доктора Производственная информация Автор: Расселл Т Дэвис Режиссёр: Кит Боак Продюсер: Фил Коллинсон Номер: 157 Дата выхода: 26 марта 2005 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Доктор Кто: Фильм Конец света Роза — 1 эпизод 1 сезона возобновлённого « Доктора Кто » . Является первым эпизодом, снятым компанией BBC Уэльс , а также первой серией после выхода в 1996 году фильма с Восьмым Доктором . В серии дебютировали Кристофер Экклстон в роли Девятого Доктора и Билли Пайпер в роли Розы Тайлер , а также Камилла Кодури в роли Джекки Тайлер и Ноэль Кларк в роли Микки Смита , которые периодически будут появляться в сериале до 4 сезона. Серия получила небывалый успех, по состоянию на 2017 год, среди первых серий с новыми воплощениями Доктора, опередив предыдущего рекордсмена - серию « Робот » (1974), в которой дебютировал Том Бейкер в роли Четвёртого Доктора . Со своим рейтингом в 10,81 млн. зрителей на канале BBC One, она не уступала и первым сериям с Десятым ( « Рождественское вторжение » ), Одиннадцатым ( « Одиннадцатый час » ) и Двенадцатым Докторами ( « Глубокий вдох » ). Также, эта серия встала на второе место в списке самых рейтинговых серий «Доктора Кто» , уступая только серии « Судьба далеков » (1979) 17 сезона. Это была первая широкоформатная история в сериале, а также первая, состоящая всего лишь из одного 45-минутного эпизода. Это был дебют для всей производственной команды «Доктора Кто» за исключением Майка Такера , который ранее занимался визуальными эффектами сериала в 1985-1989 годах. В «Розе» появились Сознание Нестин и автоны , которых впервые встретил Третий Доктор в сериях « Прибытие из космоса » (1970) и « Террор автонов » (1970). Также, в серии прозвучало название организации Протокол теней , на которую будут ссылаться в течение некоторых следующих серий. Кроме того, серия открыла сюжетную арку Войны Времени , в ходе которой Доктор потерял свой собственный народ. Необычным было введение Девятого Доктора в сюжет, так как он не объясняет, что случилось с его предшественником, а также особо не разглашает события Войны Времени. Таким образом начинается сюжетная линия Розы Тайлер , где она всё больше и больше узнаёт личность Доктора и его историю. Зрители нового сериала узнали о регенерации только в последней серии 1 сезона - « Пути расходятся » (2005), а о преемственности между классическим сериалом и новым стало известно только из серии « Человеческая природа » (2007) 3 сезона, когда в «Журнале невозможных вещей» Джона Смита нашлись изображения Докторов из классики. Роза Тайлер считает, что это самый обычный день её «обычной» жизни, однако она ошибается. В этот день ей суждено встретить оживлённых пластиковых монстров, и таинственного человека, который спасёт её от них. Человека, который называет себя Доктором . Она ещё сама не осознаёт, что его появление навсегда изменит жизнь обычной продавщицы Лондонского магазина... "
https://tardis.fandom.com/ru/wiki/%D0%9A%D0%BE%D0%BD%D0%B5%D1%86_%D1%81%D0%B2%D0%B5%D1%82%D0%B0_(%D0%A2%D0%92_%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F),"
					Конец света (ТВ история)				",Девятый Доктор,Роза Тайлер,Фил Коллинсон,2 апреля 2005,"Конец света The End of the World Доктор Кто : 1 сезон 2 серия Доктор: Девятый Доктор Спутники: Роза Тайлер Участвуют: Джейб , Лицо Бо Враги: Кассандра Камео: Джекки Тайлер Место: Платформа Один - 5 000 000 000 год ТАРДИС Доктора Земля - Англия - Лондон - 2005 Производственная информация Автор: Расселл Т Дэвис Режиссёр: Эйрос Лин Продюсер: Фил Коллинсон Номер: 158 Дата выхода: 2 апреля 2005 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Роза Беспокойные мертвецы Конец света — 2 эпизод 1 сезона возобновлённого « Доктора Кто » . Это была первая серия нового сериала, показавшая путешествие в будущее относительно даты выхода эпизода. В данной серии были введены такие персонажи, как леди Кассандра и лицо Бо , а также впервые было упомянуто словосочетание « Злой волк ». Кроме того, в серии введено понятие Последней Великой Войны Времени , которую Доктор упоминал во время разговора о своём доме , который, по его мнению, уничтожен, вместе с остальными Повелителями Времени . Ноша Последнего Повелителя Времени будет и у Десятого и Одиннадцатого Докторов , и продержится до событий юбилейного спецвыпуска « День Доктора » (2013). Режиссёром серии стал Эйрос Лин , и это была его первая работа над сериалом. На время выхода, эпизод стал самым насыщенным по количеству спецэффектов CGI. Доктор со своей новой спутницей, Розой Тайлер , прибывает в 5 000 000 000 год , в котором самые богатые люди Вселенной собрались посмотреть на гибель Земли от вспышки Солнца. Однако на борту есть тот, кто хочет сжечь пассажиров корабля вместе с Землей. Доктор с Розой оказываются на «Платформе Одиннадцать», платформе космического корабля, находящегося на орбите Земли. Земля давно пуста, и скоро её уничтожит расширяющееся Солнце. Посмотреть на событие пришли множество различных существ. В состав гостей входит Леди Кассандра — лицо на большом куске кожи, который непрерывно увлажняют. Она называет себя последним в мире человеком. В честь праздника гости обмениваются подарками. Тем временем, оказывается, что подарки, которые принесли с собой Адепты Повторяющихся Стереотипов в виде металлических сфер, держат внутри себя пауков-роботов, которые деактивируют солнечный фильтр. Без него вся платформа начинает гореть. Доктор идёт исследовать платформу вместе с представительницей Лесов Чим, Джейб , и обнаруживает мёртвого дворецкого и пауков. Роза попадает в комнату, где деактивируется солнечный фильтр. Доктор использует паука, чтобы показать гостям, что Стереотипы — лишь пустые оболочки, а главным виновником является Леди Кассандра . Она телепортируется на свой корабль, а щиты снова снижаются, убивая некоторых гостей. Позже Доктор с Розой возвращаются к гостям и используют телепорт, чтобы вернуть Леди Кассандру обратно на платформу. Под воздействием высокой температуры и без увлажнения Кассандра начинает трескаться, сохнуть и, наконец, взрывается. Вернувшись в настоящее Розы, Доктор объясняет ей, что его собственная планета была уничтожена в войне , и что он последний Повелитель Времени . Роза сочувствует Доктору, и они идут есть чипсы. "
https://tardis.fandom.com/ru/wiki/%D0%91%D0%B5%D1%81%D0%BF%D0%BE%D0%BA%D0%BE%D0%B9%D0%BD%D1%8B%D0%B5_%D0%BC%D0%B5%D1%80%D1%82%D0%B2%D0%B5%D1%86%D1%8B,"
					Беспокойные мертвецы				",Девятый Доктор,Роза Тайлер,Фил Коллинсон,9 апреля 2005,"Беспокойные мертвецы The Unquiet Dead Доктор Кто : 1 сезон 3 серия Доктор: Девятый Доктор Спутники: Роза Тайлер Участвуют: Чарльз Диккенс , Гвинет Враги: Гельты Место: Земля - Уэльс - Кардифф - 1869 ТАРДИС Доктора Производственная информация Автор: Марк Гейтисс Режиссёр: Эйрос Лин Продюсер: Фил Коллинсон Номер: 159 Дата выхода: 9 апреля 2005 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Конец света Пришельцы в Лондоне Беспокойные мертвецы — 3 эпизод 1 сезона возобновлённого « Доктора Кто » , показанный 9 апреля 2005 года. В этой серии впервые за историю нового сериала было показано путешествие в прошлое. Автор сценария - Марк Гейтисс , и эта его первая работа в сериале, однако до этого он уже написал несколько книг и был принял участие в создании нескольких аудиопьес. Также это первая серия со времён « Зазора времени » (1985), в которой произошла встреча с исторической личностью из прошлого Земли . В этом эпизоде впервые фигурирует Кардиффский пространственно-временной рифт , который позже появится в серии « Городской бум (2005), а также в первые два сезона « Торчвуда » будут сфокусированы именно на нём. Хотя история происходит в рождественское время, эта серия не является полноценным рождественским спецвыпуском, потому что длится 45 минут, как и большинство эпизодов «основных» серий нового сериала. Однако этот эпизод больше всего приближен к званию рождественского из всей эпохи Девятого Доктора , так как Кристофер Экклстон покинул сериал в 2005 же году, а в рождественском спецвыпуске этого года участвовал уже Десятый Доктор Дэвида Теннанта . Доктор планирует отправится в Неаполь на Рождество. Но вместо этого, ТАРДИС приземляется в Кардиффе 1869 года, к большому удивлению Розы . Мертвые ходят по улицам, и местный гробовщик, Мистер Снид, отчаянно пытается скрыть темные тайны. Паранормальные явления приводят Доктора в театр, где Чарльз Диккенс объединяется с Доктором, чтобы раскрыть тайну этих странных событий, но их расследования приводят к инопланетным силам, которые не остановятся ни перед чем, чтобы выжить. Молодая горничная... пространственно-временной разлом , проходящий через сердце города. И на этот раз, Доктор не в состоянии спасти всех... возможно, даже Розу. "
https://tardis.fandom.com/ru/wiki/%D0%9F%D1%80%D0%B8%D1%88%D0%B5%D0%BB%D1%8C%D1%86%D1%8B_%D0%B2_%D0%9B%D0%BE%D0%BD%D0%B4%D0%BE%D0%BD%D0%B5,"
					Пришельцы в Лондоне				",Девятый Доктор,Роза Тайлер,Фил Коллинсон,16 апреля 2005,"Пришельцы в Лондоне Aliens of London Доктор Кто : 1 сезон 4 серия Доктор: Девятый Доктор Спутники: Роза Тайлер Участвуют: Микки Смит , Джекки Тайлер , Харриет Джонс , UNIT Враги: Сливины Камео: Тошико Сато Место: Земля - Англия - Лондон - 2006 ТАРДИС Доктора Производственная информация Автор: Расселл Т Дэвис Режиссёр: Кит Боак Продюсер: Фил Коллинсон Номер: 160a Дата выхода: 16 апреля 2005 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Беспокойные мертвецы Третья мировая война Пришельцы в Лондоне — 4 эпизод 1 сезона возобновлённого « Доктора Кто » . Серия примечательна тем, что она стала первой в новом сериале, закончившейся на клиффхангере , и продолжилась во второй части под названием « Третья мировая война » , что стало первой двухсерийкой возрождённого сериала. Использование клиффхангеров в сериале позволило Расселлу Т Дэвису расширить сюжет и напомнить зрителям об особенности классических сезонов, серии в которых состояли из 1-14 эпизодов по ~25 / ~45 минут. С точки зрения сюжета, история примечательна первым появлением семьи Сливинов , которые позже ещё появятся в серии « Городской бум » (2005), в конце 2 эпизода « Конца времени » (2010), а также в сериале « Приключения Сары Джейн » . Также, в этой серии впервые появилась Тошико Сато , которая позже станет постоянным членом команды Торчвуда Три в « Торчвуде » , и произошло появление Харриет Джонс , члена британского правительства. В этой серии впервые в новом сериале был показан ЮНИТ , с которым Доктор был тесно связан в оригинальном сериале. Когда Микки Смит смотрит с веранды на уходящего доктора, видно, что на задней стене ТАРДИС краской выведена надпись ""BAD WOLF"". Наследство этой серии - хоть оно и часто забывается сценаристами - находится в моменте до заставки. С тех пор, как Девятый Доктор по ошибке привёз Розу Тайлер на год в будущее, «настоящее» « Доктора Кто » и двух его спин-оффов сместилось на год вперёд, относительно даты выхода. Роза возвращается домой и обнаруживает, что отсутствовала целый год, хотя для нее прошло всего пару дней. Тем не менее, прежде чем она может объяснить ее отсутствие, космический корабль врезается в Биг-Бен, вызывая всеобщую катастрофу. Хуже того, премьер-министр таинственно исчез... "
https://tardis.fandom.com/ru/wiki/%D0%A2%D1%80%D0%B5%D1%82%D1%8C%D1%8F_%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0,"
					Третья мировая война				",Девятый Доктор,Роза Тайлер,Фил Коллинсон,23 апреля 2005,"Третья мировая война World War Three Доктор Кто : 1 сезон 5 серия Доктор: Девятый Доктор Спутники: Роза Тайлер Участвуют: Микки Смит , Джекки Тайлер , Харриет Джонс , UNIT Враги: Сливины Место: Земля - Англия - Лондон - 2006 Производственная информация Автор: Расселл Т Дэвис Режиссёр: Кит Боак Продюсер: Фил Коллинсон Номер: 160b Дата выхода: 23 апреля 2005 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Пришельцы в Лондоне Далек Третья мировая война — 5 эпизод 1 сезона возобновлённого « Доктора Кто » . Эта серия напрямую продолжила предыдущую - « Пришельцы в Лондоне » , что сделало их первой двухсерийкой нового сериала. Микки Смит в данной истории впервые активно помогает Доктору, действуя как спутник , однако объясняет Розе в конце, почему он не готов к путешествиям в ТАРДИС. Также, в этой серии Доктор упоминает блистательную будущую политическую карьеру Харриет Джонс , которая действительно произойдёт как раз перед сюжетом « Рождественского вторжения » (2005), где Харриет уже показана премьер-министром Великобритании. Однако Десятый Доктор меняет положение дел, и история Харриет завершается в серии « Украденная Земля » (2008). В эпизоде, также, впервые в истории « Доктора Кто » , в ТАРДИС Доктора появился рабочий телефон (что будет играть важную роль в 5 сезоне 2010 года). Надвигается межпланетная война, человеческая раса готовится к концу. Мало зная своих врагов Доктор , Роза и их новый друг Харриет Джонс , застряли в ловушке на Даунинг-стрит, 10 и борются за свою жизнь. В это время Семья Сливинов строит планы по уничтожению Земли. Весь мир меняется, Доктор бессилен и кажется, что только Микки Смит способен спасти Землю. "
https://tardis.fandom.com/ru/wiki/%D0%94%D0%B0%D0%BB%D0%B5%D0%BA_(%D0%A2%D0%92_%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F),"
					Далек (ТВ история)				",Девятый Доктор,Роза Тайлер,Фил Коллинсон,30 апреля 2005,"Далек Dalek Доктор Кто : 1 сезон 6 серия Доктор: Девятый Доктор Спутники: Роза Тайлер Участвуют: Адам Митчелл Враги: Далек , Генри ван Статтен Место: Земля - США - штат Юта - Хранилище - 2012 Производственная информация Автор: Роберт Ширман Режиссёр: Джо Эхирн Продюсер: Фил Коллинсон Основано на: Юбилей Номер: 161 Дата выхода: 30 апреля 2005 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Третья мировая война Долгая игра Далек — 6 эпизод 1 сезона возобновлённого « Доктора Кто » . В серии состоялось первое появление далеков в новом сериале. Также здесь введён новый персонаж, ставший на короткое время спутником Доктора — Адам Митчелл . Эпизод является адаптацией популярной аудиопьесы Роберта Ширмана из ежемесячных релизов — « Юбилей » (2003), однако единственным, что сохранилось одинаковым в этих историях, является образ далека, последнего выжившего, которого содержат и пытают в секретном месте. С точки зрения сюжета, серия «Далек» впервые затронула тему последствий Последней Великой Войны Времени , ее значение для вида Доктора и далеков, а также тяжесть вины и гнева Девятого Доктора , который остался в живых после того, как ему пришлось лично завершить эту войну, вызвав неисчислимое количество смертей невинных, по его мнению. Именно в этой серии тёмная сторона, поддерживающая его дух, проявилась в наиболее полной мере, и именно здесь Доктор увидел своё ужасающее сходство со своим самым ненавистным врагом. Девятый Доктор и Роза Тайлер прибывают в 2012 год, откуда они слышали сигнал бедствия. Там они встретились с коллекционером инопланетных артефактов, обладателем некоего Металтрона . Доктор с ужасом обнаруживает, что так называемый Металтрон на самом деле последний представитель воинственной расы далеков . ТАРДИС приземляется в подземной галерее, которая оказывается музеем разнообразных объектов инопланетного происхождения. Среди экспонатов Доктор и Роза видят голову киберчеловека , лапу раксокорикофаллапаторианца и тому подобное. По неосторожности Розы срабатывает сигнализация, появляется вооружённая охрана и путешественников отводят к хозяину этого места - миллиардеру Генри ван Статтену, владельцу Интернета. В разговоре с Доктором ван Статтен сообщает, что у него имеется необычное существо, которое он назвал Металтроном. Также он говорит, что существо почему-то всё время молчит, и предлагает Доктору поговорить с ним. Доктор отправляется в камеру Металтрона и слышит хорошо знакомый ему металлический голос. Включив свет, он видит закованного в цепи далека. Шокированный Доктор разговаривает с узником и выясняет, что тот уцелел в Войне Времени , провалившись сквозь время и пространство, затем пытается убить далека, но этому мешает охрана. Чуть позже в камеру попадает Роза, которая касается далека рукой. Внезапно он оживает, использовав ДНК Розы для восстановления тела, рвёт цепи и покидает комнату. Охранники пытаются его остановить, однако оружие бесполезно — пришелец убивает их одного за другим. Подключившись к терминалу, далек изучает интернет, однако не находит никакого упоминания о своей расе. Поняв, что приказов от командования больше не будет, он начинает уничтожать всё живое на своём пути. Через некоторое время далека блокируют на одном из этажей, но вместе с ним оказывается заперта и Роза. Впрочем, он не убивает её, а использует в качестве заложника в обмен на свободу. После того, как далек покинул закрытый этаж, он хочет убить пытавшего его ван Статтена, однако Роза останавливает его и убеждает уйти. Доктор тем временем ищет в музее оружие, чтобы уничтожить своего врага. На верхнем этаже далек пробивает потолок и открывает броню, чтобы почувствовать солнечный свет. Доктор рвётся пустить оружие в ход, однако Роза успокаивает и его, убедив, что далек из-за использования человеческой ДНК мутировал и более не может следовать инстинкту убивать. Затем по просьбе далека она приказывает ему убить себя, что тот и делает. "
https://tardis.fandom.com/ru/wiki/%D0%94%D0%BE%D0%BB%D0%B3%D0%B0%D1%8F_%D0%B8%D0%B3%D1%80%D0%B0,"
					Долгая игра				",Девятый Доктор,Роза Тайлер,Фил Коллинсон,7 мая 2005,"Долгая игра The Long Game Доктор Кто : 1 сезон 7 серия Доктор: Девятый Доктор Спутники: Роза Тайлер , Адам Митчелл Враги: Джаграфесс , Редактор Место: Спутник 5 - 200 000 год Земля - Англия - Лондон - 2012 Производственная информация Автор: Расселл Т Дэвис Режиссёр: Брайан Грант Продюсер: Фил Коллинсон Номер: 162 Дата выхода: 7 мая 2005 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Далек День отца Долгая игра — 7 эпизод 1 сезона возобновлённого « Доктора Кто » . В серии происходит значимое событие - Доктор впервые выгоняет из ТАРДИС спутника за его действия, которые могли изменить ход истории. Строгие меры производства этого эпизода были особенно важны в том, чтобы структурировать производство эпизода так, чтобы оно укладывалось в график съёмки серий нового «Доктора Кто» . Особенно в этом эпизоде была отмечена польза «дабл-бэнкинга» (одновременное производство сразу двух эпизодов). Опыт съёмок «Долгой игры» приведёт непосредственно ко включению в сериал « Доктор-лайт » , или « компанион-лайт » эпизодов (те истории, в которых Доктору и / или его спутникам сознательно отводится второстепенная роль в сюжете), которые станут непосредственным структурным элементов будущих сезонов. Новый спутник Доктора Адам Митчелл отправляется в свое первое путешествие в ТАРДИС . Корабль материализуется на Спутнике 5, космической станции, которая транслирует новости на всю Великую Четвертую Человеческую Империю. Те кто попадает на 500 этаж Спутника просто исчезают. И Доктор должен узнать куда пропадают люди, и кто стоит за всем этим. "
https://tardis.fandom.com/ru/wiki/%D0%94%D0%B5%D0%BD%D1%8C_%D0%BE%D1%82%D1%86%D0%B0,"
					День отца				",Девятый Доктор,Роза Тайлер,Фил Коллинсон,14 мая 2005,"День отца Father's Day Доктор Кто : 1 сезон 8 серия Доктор: Девятый Доктор Спутники: Роза Тайлер Участвуют: Питер Тайлер , Джекки Тайлер Враги: Риперы Камео: Микки Смит Место: Земля - Англия - Лондон - 7 ноября 1987 , 1990-е и 2006 ТАРДИС Доктора Производственная информация Автор: Пол Корнелл Режиссёр: Джо Эхирн Продюсер: Фил Коллинсон Номер: 163 Дата выхода: 14 мая 2005 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Долгая игра Пустой ребёнок День отца — 8 эпизод 1 сезона возобновлённого « Доктора Кто » . В этой серии впервые появляется отец Розы, Питер Тайлер , а также рассказано о прошлом семьи Тайлер, что будет использовано в будущих историях, которые будут происходить в параллельном мире, где Пит не погиб. С производственной точки зрения история примечательна тем, что это первая серия «Доктора Кто» , написанная Полом Корнеллом , известным автором книг по сериалу. Пит Алан Тайлер , отец Розы и муж Джекки , умер 7 ноября 1987 года, в день свадьбы Стюарта Хоскинса и Сары Кларк . В детстве Джекки рассказывала Розе о том, что когда Пит умирал, никого не было рядом с ним, и водителя, что сбил его, так и не нашли... Теперь, будучи взрослой, Роза просит Девятого Доктора отвезти её к отцу, чтобы увидеть, как он погиб, но случайно меняет его судьбу, не понимая последствия этого парадокса. В конце-концов, Доктор спас так много жизней... какие могут быть последствия для человека, оставшегося живым в мире, где он должен был умереть? В 1987 году, когда Розе было всего ничего от роду, её отца, Пита Тайлера, сбил автомобиль. По просьбе Розы Доктор отправляется с нею в тот самый момент, чтобы она смогла получить ответы на свои вопросы. Для девушки сложным оказывается просто стоять, бесстрастно наблюдая, за событиями, что приведут к смерти того, о ком её мама так много ей рассказывала. Роза предотвращает фатальное столкновение и этим нарушает баланс течения времени и ход истории. События развиваются иным - неправильным ходом, по этой причине появляются существа, которых Доктор называет жнецами, и стараются исправить аномалию привычным им способом, но это угрожает существованию всего в альтернативной временной линии, которая появилась в момент, когда Пит Тайлер остался в живых. Доктор призывает всех, кто собрался на свадьбу, укрыться в церкви, так как это самая старая постройка, а значит жнецы внутрь проберутся относительно не скоро. Однако это временное решение, существа крайне настойчивы, и нужно найти решение проблемы как можно скорее. Между Розой и Питом за всё это время возникают и развиваются очень доверительные отношения, казалось бы без очевидной для Пита на то причины, ведь они едва знакомы. Не сдержавшись Роза рассказывает отцу всё как есть. Чтобы всё исправилось, Пит должен встретить свою смерть в этот день под колёсами автомобиля, вернув тем самым события в правильное русло. Нелёгкое решение для Пита, но он призвав всё своё мужество, выходит навстречу гибели. Роза проводит с отцом его последние секунды жизни, для всех остальных в восстановившемся ходе истории она сохранилась в воспоминаниях как ""какая-то светловолосая девушка"". Есть вещи, которые невозможно изменить путешественникам во времени, как бы им того не хотелось, они не имеют на это права. "
https://tardis.fandom.com/ru/wiki/%D0%9F%D1%83%D1%81%D1%82%D0%BE%D0%B9_%D1%80%D0%B5%D0%B1%D1%91%D0%BD%D0%BE%D0%BA,"
					Пустой ребёнок				",Девятый Доктор,Роза Тайлер,Фил Коллинсон,21 мая 2005,"Пустой ребёнок The Empty Child Доктор Кто : 1 сезон 9 серия Доктор: Девятый Доктор Спутники: Роза Тайлер Участвуют: Джек Харкнесс Враги: Пустой ребёнок Место: Земля - Англия - Лондон и корабль Джека - 20 января 1941 ТАРДИС Доктора Производственная информация Автор: Стивен Моффат Режиссёр: Джеймс Хоуз Продюсер: Фил Коллинсон Номер: 164a Дата выхода: 21 мая 2005 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → День отца Доктор танцует Пустой ребёнок — 9 эпизод 1 сезона возобновлённого « Доктора Кто » . Это первая часть из двухсерийной истории, которая завершилась в следующем эпизоде - « Доктор танцует » . Данная двухсерийка выиграла премию Хьюго «за лучшую постановку, малая форма» в 2006 году. Автором сценария стал Стивен Моффат - это его первая работа над этим сериалом. Кроме того, в серии впервые появился капитан Джек Харкнесс , будущий спутник Доктора, возвращающийся в 3-4 сезонах персонаж и герой собственного спин-оффа « Торчвуд » . В погоне за металлическим предметом через Временной Вихрь , Доктор и Роза прибывают в Лондон во время Второй Мировой. Там они находят бездомных детей, трупы с необъяснимыми знаками на руках, странный цилиндр охраняемый армией и лихого Капитана Джека Харкнесса . "
https://tardis.fandom.com/ru/wiki/%D0%94%D0%BE%D0%BA%D1%82%D0%BE%D1%80_%D1%82%D0%B0%D0%BD%D1%86%D1%83%D0%B5%D1%82,"
					Доктор танцует				",Девятый Доктор,Роза Тайлер,Фил Коллинсон,28 мая 2005,"Доктор танцует The Doctor Dances Доктор Кто : 1 сезон 10 серия Доктор: Девятый Доктор Спутники: Роза Тайлер , Джек Харкнесс Враги: Пустой ребёнок Место: Земля - Англия - Лондон и корабль Джека - 20 января 1941 ТАРДИС Доктора Производственная информация Автор: Стивен Моффат Режиссёр: Джеймс Хоуз Продюсер: Фил Коллинсон Номер: 164b Дата выхода: 28 мая 2005 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Пустой ребёнок Городской бум Доктор танцует — 10 эпизод 1 сезона возобновлённого « Доктора Кто » . Это вторая часть двухсерийки, начавшейся в прошлом эпизоде - « Пустом ребёнке » . В этой серии капитан Джек Харкнесс присоединился к Доктору и Розе в их путешествиях на ТАРДИС . Данная двухсерийка выиграла премию Хьюго «за лучшую постановку, малая форма» в 2006 году. Чума «Пустого Ребёнка» распространяется по всему Лондону времён Второй мировой, и эта армия зомби уже готова атаковать. Девятый Доктор и Роза заключают союз с межгалактическим мошенником Капитаном Джеком, но оказываются в ловушке в заброшенной больнице. Лекарство хранится на месте крушения, но время уходит... "
