URL,Name,Doctor,Companions,Producer,Data,Content
https://tardis.fandom.com/ru/wiki/%D0%91%D0%BE%D0%B9%D1%81%D1%8F_%D0%B5%D1%91,"
					Бойся её				",Десятый Доктор,Роза Тайлер,Фил Коллинсон,24 июня 2006,"Бойся её Fear Her Доктор Кто : 2 сезон 11 серия Доктор: Десятый Доктор Спутники: Роза Тайлер Участвуют: Изолус , Триш, Хлоя Уэббер Враги: Отец Хлои Уэббер Место: Земля - Англия - Лондон - 2012 ТАРДИС Доктора Производственная информация Автор: Мэттью Грэм Режиссёр: Эйрос Лин Продюсер: Фил Коллинсон Номер: 176 Дата выхода: 24 июня 2006 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Любовь и монстры Армия призраков Бойся её — 11 эпизод 2 сезона возобновлённого « Доктора Кто » , показанный 24 июня 2006 года. « Тардисод 11 » - приквел к этой истории, и рассказывает о том, что произошло до прибытия Доктора и Розы. Десятый Доктор и Роза Тайлер прибывают в Лондон 2012 года , чтобы увидеть Олимпиаду . Но находят таинственный ужас в самом странном месте. Доктор и Роза попадают в 2012 год в Лондон. Именно тогда должны проводится Олимпийские игры, однако они замечают объявления о пропаже детей. За 6 дней пропало уже 3 ребёнка, это очень насторожило Розу и Доктора. У пропажи третьего был свидетель, местная бабушка. Она предупреждала отца ребёнка о том, что детей следует отвести в дом, но он, видимо, посчитал её за сумасшедшую. Ребёнок будто растворился в воздухе. Он бесследно пропал, как и остальные два. Рядом с происшествием жила девочка, которая очень любила рисовать и её мать. Роза сразу заподозрила неладное, а также Доктор обнаружил ионную энергию в местах, где пропадали дети. Также на глазах Розы и Доктора пропал кот, на месте пропажи которого была та самая ионная энергия. Прийдя в дом к девочке и её матери, Роза пробралась в комнату к первой и наткнулась на огромное количество рисунков на стене а также огромный говорящий рисунок в шкафу. Доктор выяснил, что тело девочки захватил изолус. "
https://tardis.fandom.com/ru/wiki/%D0%90%D1%80%D0%BC%D0%B8%D1%8F_%D0%BF%D1%80%D0%B8%D0%B7%D1%80%D0%B0%D0%BA%D0%BE%D0%B2,"
					Армия призраков				",Десятый Доктор,Роза Тайлер,Фил Коллинсон,1 июля 2006,"Армия призраков Army of Ghosts Доктор Кто : 2 сезон 12 серия Доктор: Десятый Доктор Спутники: Роза Тайлер Участвуют: Джекки Тайлер , Микки Смит Враги: Торчвуд Один , Ивонн Хартман , киберлюди Камео: Далеки : Культ Скаро Место: Земля - Англия - Лондон - 2007 ТАРДИС Доктора Производственная информация Автор: Расселл Т Дэвис Режиссёр: Грэм Харпер Продюсер: Фил Коллинсон Номер: 177a Дата выхода: 1 июля 2006 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Бойся её Судный день Армия призраков — 12 эпизод 2 сезона возобновлённого сериала « Доктор Кто » , показанный 1 июля 2006 года. Тут впервые появились Институт Торчвуд и Культ Скаро . Также, в серии вернулись киберлюди из параллельной вселенной. « Тардисод 12 » , приквел к этому эпизоду, сводит воедино сюжетные нити о Торчвуде, проходящие сквозь весь 2 сезон. Роза и Десятый Доктор возвращаются в современный Лондон, чтобы найти разгадку таинственных призраков во всем мире. Так Доктор приближается к разгадки в Башне Торчвуда. Что-то зловещее скрывается в этом здании. На телевидении: Культурные отсылки: Он забрал меня из дома на своем фантастическом летательном аппарате. И показал мне время и пространство. Я думала это будет длится вечно. Да, я так думала, но потом появилась армия призраков, а еще позже Торчвуд и война. И тогда всему пришел конец. Это история о том, как я умерла. "
https://tardis.fandom.com/ru/wiki/%D0%A1%D1%83%D0%B4%D0%BD%D1%8B%D0%B9_%D0%B4%D0%B5%D0%BD%D1%8C,"
					Судный день				",Десятый Доктор,Роза Тайлер,Фил Коллинсон,8 июля 2006,"Судный день Doomsday Доктор Кто : 2 сезон 13 серия Доктор: Десятый Доктор Спутники: Роза Тайлер Участвуют: Джекки Тайлер , Микки Смит , Питер Тайлер , Джейк Симмондс , Торчвуд Один : Ивонн Хартман Враги: Далеки : Культ Скаро ; киберлюди Камео: Донна Ноубл Место: Земля - Англия - Лондон - 2007 Параллельная вселенная - Земля - Англия ( Лондон ) и Норвегия ( Dårlig Ulv-Stranden ) - 2007 ТАРДИС Доктора Производственная информация Автор: Расселл Т Дэвис Режиссёр: Грэм Харпер Продюсер: Фил Коллинсон Номер: 177b Дата выхода: 8 июля 2006 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Армия призраков Сбежавшая невеста Судный день — 13 и последний эпизод 2 сезона возобновлённого « Доктора Кто » , показанный 8 июля 2006 года. Является завершением двухсерийки, которая началась в прошлом эпизоде - « Армия призраков » . В «Судном дне» далеки и киберлюди впервые сталкиваются друг с другом за всю 45-летнюю историю сериала. Идея объединить их на экране появилась ещё в 1967 году, однако была в то время отвергнута Терри Нейшном , создателем далеков. Это последняя серия с Розой Тайлер в качестве постоянной спутницы Доктора, а с Микки Смитом , Джекки Тайлер и Питом Тайлер - в качестве постоянных персонажей. «Судный день» является одним из самых популярных эпизодов возобновленного «Доктора Кто» . Сюжет приквела « Тардисод 13 » происходит во время событий этого эпизода, когда битва достигает апогея. Это последний приквел из всех « Тардисодов » , закончившийся финалом 2 сезона. Далеки и киберлюди, ведут глобальную войну, в которую поневоле втянуто человечество. Доктор, Тайлеры и Микки Смит борются за свои жизни, пытаясь исправить сложившуюся ситуацию. Они преуспевают, однако финал битвы оказывается печальным для Доктора и Розы... "
https://tardis.fandom.com/ru/wiki/%D0%A1%D0%B1%D0%B5%D0%B6%D0%B0%D0%B2%D1%88%D0%B0%D1%8F_%D0%BD%D0%B5%D0%B2%D0%B5%D1%81%D1%82%D0%B0,"
					Сбежавшая невеста				",Десятый Доктор,Донна Ноубл,Фил Коллинсон,25 декабря 2006,"Сбежавшая невеста The Runaway Bride Доктор Кто : рождественский спецвыпуск Доктор: Десятый Доктор Спутники: Донна Ноубл Участвуют: Сильвия Ноубл Враги: Императрица Ракносс , робоформы Место: Земля - Англия - Лондон и космический корабль Ракносс - Рождество 2007 и период образования Земли ТАРДИС Доктора Производственная информация Автор: Расселл Т Дэвис Режиссёр: Эйрос Лин Продюсер: Фил Коллинсон Номер: 178 Дата выхода: 25 декабря 2006 Формат: 60-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Судный день Смит и Джонс Сбежавшая невеста — рождественский спецвыпуск возобновлённого « Доктора Кто » , вышедший 25 декабря 2006 года. Это первая серия, которая ввела понятие «разового» спутника Доктора, которой изначально и задумывалась Донна Ноубл . Тем не менее, она позже стала полноправной спутницей в 4 сезоне. Последующие рождественские спецвыпуски с Десятым Доктором продолжат традицию «разовых спутников». Сюжет продолжает финальную сцену 2 сезона с появлением Донны внутри ТАРДИС, и здесь также вернулись робоформы , ранее участвовавшие в эпизоде « Рождественское вторжение » (2005). Убийцы Санта Клаусы охотятся за Доктором и его новой знакомой . В небе появляется гигантская звезда. Доктору предстоит вновь спасти Рождество! "
https://tardis.fandom.com/ru/wiki/%D0%A1%D0%BC%D0%B8%D1%82_%D0%B8_%D0%94%D0%B6%D0%BE%D0%BD%D1%81,"
					Смит и Джонс				",Десятый Доктор,Марта Джонс,Фил Коллинсон,31 марта 2007,"Смит и Джонс Smith and Jones Доктор Кто : 3 сезон 1 серия Доктор: Десятый Доктор Спутники: Марта Джонс Враги: Флоренс Финнеган , слабсы , джудуны Камео: Фрэнсин , Тиш , Лео и Клайв Джонсы Место: Земля ( Англия - Лондон ) и Луна - 2008 ТАРДИС Доктора Производственная информация Автор: Расселл Т Дэвис Режиссёр: Чарльз Палмер Продюсер: Фил Коллинсон Номер: 179 Дата выхода: 31 марта 2007 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Сбежавшая невеста Код Шекспира Смит и Джонс — 1 эпизод 3 сезона возобновлённого « Доктора Кто » , показанный 31 марта 2007 года. В этой серии впервые появились джудуны , новая версия звуковой отвертки , и, также, она стала первой для новой спутницы Десятого Доктора Марты Джонс . Кроме того, здесь в четвёртый раз был упомянут Гарольд Саксон - как известный британской публике политик, на которого ранее ссылались в сериях « Любовь и монстры » , « Капитан Джек Харкнесс » и « Сбежавшая невеста » . "
https://tardis.fandom.com/ru/wiki/%D0%9A%D0%BE%D0%B4_%D0%A8%D0%B5%D0%BA%D1%81%D0%BF%D0%B8%D1%80%D0%B0,"
					Код Шекспира				",Десятый Доктор,Марта Джонс,Фил Коллинсон,7 апреля 2007,"Код Шекспира The Shakespeare Code Доктор Кто : 3 сезон 2 серия Доктор: Десятый Доктор Спутники: Марта Джонс Участвуют: Уильям Шекспир Враги: Карриониты Камео: Елизавета I Место: Земля - Англия - Лондон - 1599 Производственная информация Автор: Гарет Робертс Режиссёр: Чарльз Палмер Продюсер: Фил Коллинсон Номер: 180 Дата выхода: 7 апреля 2007 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Смит и Джонс Пробка Код Шекспира — 2 эпизод 3 сезона возобновлённого « Доктора Кто » , показанный 7 апреля 2007 года. Сюжет повествует о первом путешествии Марты на борту ТАРДИС, во время которого они с Доктором встречают Уильяма Шекспира и «инопланетных ведьм». Гарет Робертс , автор серии, хорошо известен своей любовью к произведениям Шекспира, ранее он даже включил его в один из комиксов с Девятым Доктором . Карриониты были вписаны в серию с оглядкой на ведьм из Шекспировской пьесы « Макбет » . В этой серии также произошло камео королевы Елизаветы I , которая по причинам, которые раскроются позже , приказывает арестовать Доктора. Доктор и Марта Джонс отправляются в Лондон 1599 года. В городе появились три пришельца, которые хотят освободить свой народ. Положения должны исправить Доктор, Марта и... Уильям Шекспир. "
https://tardis.fandom.com/ru/wiki/%D0%9F%D1%80%D0%BE%D0%B1%D0%BA%D0%B0,"
					Пробка				",Десятый Доктор,Марта Джонс,Фил Коллинсон,14 апреля 2007,"Пробка Gridlock Доктор Кто : 3 сезон 3 серия Доктор: Десятый Доктор Спутники: Марта Джонс Участвуют: Лицо Бо , послушница Хэйм Враги: Макра Место: Новая Земля - Новый Нью-Йорк - 5 000 000 053 год Производственная информация Автор: Расселл Т Дэвис Режиссёр: Ричард Кларк Продюсер: Фил Коллинсон Номер: 181 Дата выхода: 14 апреля 2007 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Код Шекспира Далеки на Манхэттене Пробка — 3 эпизод 3 сезона возобновлённого « Доктора Кто » , показанный 14 апреля 2007 года. В серии происходит возвращение и гибель Лица Бо , который ранее появлялся в сериях « Конец света » (2005) и « Новая Земля » (2006), и намекал на то, что перед смертью раскроет одну тайну своему старому другу. В конце, он сказал Доктору «Ты не один» , что продолжило сюжетную арку Гарольда Саксона . Кроме того, в серии произошло возвращение пришельцев под названием « Макра », которые ранее появлялись в классическом сериале в истории « Террор Макра » (1967). Со времён той серии, где они контролировали целую земную колонию, Макра сильно деградировали до состояния примитивных хищников, которые живут в глубинах Нового Нью-Йорка. Десятый Доктор и Марта Джонс прилетают на Новую Землю, в далёкое будущее, однако находят, что весь город стал смертельной ловушкой... Культура: Рассел Т Дэвис упоминает в аудио комментарии, что Мюррей Голд написал другой гимн с хоровыми голосами для финала, но он звучал слишком похоже на часть саундтрека, а не на поющих его путешественников. Поэтому вместо этого они использовали оригинальный выбор Дэвиса «Пребудь со мной» (анг. Abide with me). Водительское сиденье в машинах Нью-Нью-Йорка находится справа, тогда как на самом деле оно должно находиться слева. "
https://tardis.fandom.com/ru/wiki/%D0%94%D0%B0%D0%BB%D0%B5%D0%BA%D0%B8_%D0%BD%D0%B0_%D0%9C%D0%B0%D0%BD%D1%85%D1%8D%D1%82%D1%82%D0%B5%D0%BD%D0%B5,"
					Далеки на Манхэттене				",Десятый Доктор,Марта Джонс,Фил Коллинсон,21 апреля 2007,"Далеки на Манхэттене Daleks in Manhattan Доктор Кто : 3 сезон 4 серия Доктор: Десятый Доктор Спутники: Марта Джонс Враги: Далеки : Культ Скаро Место: Земля - США - Нью-Йорк - 1930 Производственная информация Автор: Хелен Рейнор Режиссёр: Джеймс Стронг Продюсер: Фил Коллинсон Номер: 182a Дата выхода: 21 апреля 2007 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Пробка Эволюция далеков Далеки на Манхэттене — 4 эпизод 3 сезона возобновлённого « Доктора Кто » , показанный 21 апреля 2007 года. Здесь вернулся Культ Скаро , переживший события серий « Армия призраков » и « Судный день » (2006). Кроме того, здесь Доктор во второй раз, после серии « Погоня » (1965), посещает Эмпайр-стейт-билдинг . Во время строительства Эмпайр-стейт-билдинга в Нью-Йорке 1930-х годов, Культ Скаро продолжает свои попытки уничтожить человечество... "
https://tardis.fandom.com/ru/wiki/%D0%AD%D0%B2%D0%BE%D0%BB%D1%8E%D1%86%D0%B8%D1%8F_%D0%B4%D0%B0%D0%BB%D0%B5%D0%BA%D0%BE%D0%B2,"
					Эволюция далеков				",Десятый Доктор,Марта Джонс,Фил Коллинсон,28 апреля 2007,"Эволюция далеков Evolution of the Daleks Доктор Кто : 3 сезон 5 серия Доктор: Десятый Доктор Спутники: Марта Джонс Враги: Далеки : Культ Скаро Место: Земля - США - Нью-Йорк - 1930 Производственная информация Автор: Хелен Рейнор Режиссёр: Джеймс Стронг Продюсер: Фил Коллинсон Номер: 182b Дата выхода: 28 апреля 2007 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Далеки на Манхэттене Эксперимент Лазаруса Эволюция далеков — 5 эпизод 3 сезона возобновлённого « Доктора Кто » , показанный 28 апреля 2007 года. В серии произошло уничтожение трёх из четырёх членов Культа Скаро , что стало почти что геноцидом, так как далек Каан на тот момент остался последним представителем своей расы. Пока новая Империя далеков рождается в Нью-Йорке 1930-х, Десятый Доктор получает помощь от сомнительного союзника. "
https://tardis.fandom.com/ru/wiki/%D0%AD%D0%BA%D1%81%D0%BF%D0%B5%D1%80%D0%B8%D0%BC%D0%B5%D0%BD%D1%82_%D0%9B%D0%B0%D0%B7%D0%B0%D1%80%D1%83%D1%81%D0%B0,"
					Эксперимент Лазаруса				",Десятый Доктор,Марта Джонс,Фил Коллинсон,5 мая 2007,"Эксперимент Лазаруса The Lazarus Experiment Доктор Кто : 3 сезон 6 серия Доктор: Десятый Доктор Спутники: Марта Джонс Участвуют: Фрэнсис , Тиш и Лео Джонсы Враги: Ричард Лазарус Место: Земля - Англия - Лондон - 2008 ТАРДИС Доктора Производственная информация Автор: Стивен Гринхорн Режиссёр: Ричард Кларк Продюсер: Фил Коллинсон Номер: 183 Дата выхода: 5 мая 2007 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Эволюция далеков 42 Эксперимент Лазаруса — 6 эпизод 3 сезона возобновлённого « Доктора Кто » , показанный 5 мая 2007 года. Роль главного врага серии, Ричарда Лазаруса , сыграл Марк Гейтисс , также, сценарист этой истории. В серии произошло несколько отсылок на Гарольда Саксона , а также впервые была показана связь Фрэнсис Джонс с ним. В расследовании чего-то необычного, нет лучшего времени, чем настоящее! После путешествия назад, вперёд и опять назад во времени, Марта Джонс возвращается домой. Однако, прежде чем Десятый Доктор успевает улететь, профессор Лазарус сообщает, что готов «изменить само понятие «быть человеком»». Что это может значить? И может ли это привести к чему-то намного более опасному, чем научный провал? Я достаточно стар, чтобы знать, долгая жизнь не лучше. В конце ты просто устаёшь. Устаёшь от борьбы. Устаёшь терять всех, кто что-то значит для тебя. Устаёшь смотреть, как всё вокруг становится прахом. Если ты живёшь достаточно долго, Лазарус, одно лишь абсолютно неизменно — в конце ты останешься один. "
