URL,Name,Doctor,Companions,Producer,Data,Content
https://tardis.fandom.com/ru/wiki/%D0%A3%D1%82%D0%BE%D0%BF%D0%B8%D1%8F,"
					Утопия				",Десятый Доктор,Марта Джонс,Фил Коллинсон,16 июня 2007,"Утопия Utopia Доктор Кто : 3 сезон 11 серия Доктор: Десятый Доктор Спутники: Марта Джонс , Джек Харкнесс Враги: Мастер , будущники Место: Малкассайро - 100 000 000 000 000 год Земля - Уэльс - Кардифф - 2008 ТАРДИС Доктора Производственная информация Автор: Расселл Т Дэвис Режиссёр: Грэм Харпер Продюсер: Фил Коллинсон Номер: 187a Дата выхода: 16 июня 2007 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Не моргай Барабанная дробь Утопия — 11 эпизод 3 сезона возобновлённого « Доктора Кто » , показанный 16 июня 2007 года. В серии вернулся капитан Джек Харкнесс , впервые, после серии « Пути расходятся » (2005), и она напрямую продолжала эпизод « Конец дней » 1 сезона « Торчвуда » . Также, впервые после фильма 1996 года , был показан Мастер . Его сыграл Дерек Джекоби , и интересен тот факт, что он уже озвучивал другого Мастера в мультфильме « Крик Шалка » (2003). «Утопия» продолжается в сериях « Барабанная дробь » и « Последний Повелитель Времени » , что делает эту трёхсерийную напрямую сюжетно связанную историю первой подобной с рестарта сериала. Doctor Who Magazine проводил опрос, стоит ли считать «Утопию» первой серией в арке про Гарольда Саксона , и читатели решили, что да, так стоит считать. Однако сам Дэвис всегда писал, что считает «Утопию» одиночной серией. После дозаправки ТАРДИС в Кардиффе, к экипажу неожиданно возвращается Джек Харкнесс , который заставляет ТАРДИС нестись всё дальше и дальше в будущее. В итоге они останавливается в конце Вселенной - 100 000 000 000 000 году . И именно там, в тайне от всех и самого себя до сих пор существует старый враг Доктора... — Профессор был лишь изобретением. Такой хорошей маскировкой, что я забыл, кто я на самом деле. — Шан, тогда кто же вы, то? — Я — Мастер. "
https://tardis.fandom.com/ru/wiki/%D0%91%D0%B0%D1%80%D0%B0%D0%B1%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F_%D0%B4%D1%80%D0%BE%D0%B1%D1%8C,"
					Барабанная дробь				",Десятый Доктор,Марта Джонс,Фил Коллинсон,23 июня 2007,"Барабанная дробь The Sound of Drums Доктор Кто : 3 сезон 12 серия Доктор: Десятый Доктор Спутники: Марта Джонс , Джек Харкнесс Участвуют: Фрэнсин , Тиш , Клайв и Лео Джонсы Враги: Мастер , токлафаны Камео: Повелители Времени Место: Земля - Англия - Лондон - 2008 Малкассайра - 100 000 000 000 000 год ТАРДИС Доктора Галлифрей Производственная информация Автор: Расселл Т Дэвис Режиссёр: Колин Тиг Продюсер: Фил Коллинсон Номер: 187b Дата выхода: 23 июня 2007 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Утопия Последний Повелитель Времени Барабанная дробь — 12 эпизод 3 сезона возобновлённого « Доктора Кто » , показанный 23 июня 2007 года. Это вторая из трёх серий, связанных общим сюжетом и заканчивающих 3 сезон. Здесь произошло первое полноценное появление Джона Симма в роли Мастера , а также была разглашена личность Гарольда Саксона . Кроме того, в серии появился президент Соединённых Штатов Америки, не являющийся прототипом какой-то реально существующей личности. Кроме того, серия показала катастрофические для Земли последствия того, как в предыдущей серии Доктор , фактически, был побеждён Мастером. Десятый Доктор, Марта Джонс и Джек Харкнесс возвращаются в Лондон наших дней, обнаруживая Мастера в качестве премьер-министра Великобритании... «Саксон» объявляет миру о том, что вступил в контакт с инопланетной расой. Действуя тайно, Доктор и его спутники должны попытаться остановить Мастера до того, как он погрузит планету в полный хаос. Но его тёмные амбиции велики... "
https://tardis.fandom.com/ru/wiki/%D0%9F%D0%BE%D1%81%D0%BB%D0%B5%D0%B4%D0%BD%D0%B8%D0%B9_%D0%9F%D0%BE%D0%B2%D0%B5%D0%BB%D0%B8%D1%82%D0%B5%D0%BB%D1%8C_%D0%92%D1%80%D0%B5%D0%BC%D0%B5%D0%BD%D0%B8,"
					Последний Повелитель Времени				",Десятый Доктор,Марта Джонс,Фил Коллинсон,30 июня 2007,"Последний Повелитель Времени Last of the Time Lords Доктор Кто : 3 сезон 13 серия Доктор: Десятый Доктор Спутники: Марта Джонс , Джек Харкнесс Участвуют: Фрэнсин , Тиш , Клайв и Лео Джонсы Враги: Мастер , токлафаны Место: Земля - Англия : Лондон , Уэльс : Кардифф и Вэлиант - 2008 и 2009 Год, Которого не Было ТАРДИС Доктора Производственная информация Автор: Расселл Т Дэвис Режиссёр: Колин Тиг Продюсер: Фил Коллинсон Номер: 187c Дата выхода: 30 июня 2007 Формат: 45-минутный эпизод Официальный трейлер Отрывок Доктор Кто ← Предыдущее Следующее → Барабанная дробь Путешествие проклятых Последний Повелитель Времени — 13 и последний эпизод 3 сезона возобновлённого « Доктора Кто » , показанный 30 июня 2007 года. Джек Харкнесс и Марта Джонс перестали быть постоянными спутниками Доктора в конце этой серии. Также, с точки зрения повествования, эта история примечательна тем, что в ней объявлен факт о том, что Повелители Времени могут заставить себя не регенерировать , если захотят. Кроме того, зрителям был дан намёк на то, кем является Лицо Бо , появлявшийся в сериях « Конец света » (2005), « Новая Земля » (2006) и « Пробка » (2007). Но Доктор явно отрицает это предположение. Год спустя, Мастер и его токлафаны правят Землёй, которая напугана годом ужаснейшего ада. Десятый Доктор состарен до своих 900 лет, а семья Марты превращена в личную прислугу Мастера на его корабле, Вэлианте . Джек Харкнесс в клетке. Единственной надеждой для населения Земли остаётся Марта Джонс, ставшая легендой всего человечества. В то время, как Мастер готовится превратить Землю в площадку для тысяч и тысяч ракет, которые полетят для завоевания всей остальной вселенной, Марта должна пройти через множество опасностей, чтобы уничтожить его. Но трагедия ожидает её, Доктора и семью Марты в день, когда человечество сразится со звёздами... "
